2013-02-14 00:14:34 status half-installed libxft2 2.1.14-1ubuntu1
2013-02-14 00:14:34 status unpacked libxft2 2.1.14-1ubuntu1
2013-02-14 00:14:34 status unpacked libxft2 2.1.14-1ubuntu1
2013-02-14 00:14:34 install libpango1.0-0 <none> 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 status half-installed libpango1.0-0 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 status unpacked libpango1.0-0 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 status unpacked libpango1.0-0 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 install libxext6 <none> 2:1.1.1-2
2013-02-14 00:14:34 status half-installed libxext6 2:1.1.1-2
2013-02-14 00:14:34 status unpacked libxext6 2:1.1.1-2
2013-02-14 00:14:34 status unpacked libxext6 2:1.1.1-2
2013-02-14 00:14:34 install libxfixes3 <none> 1:4.0.4-1
2013-02-14 00:14:34 status half-installed libxfixes3 1:4.0.4-1
2013-02-14 00:14:34 status unpacked libxfixes3 1:4.0.4-1
2013-02-14 00:14:34 status unpacked libxfixes3 1:4.0.4-1
2013-02-14 00:14:35 install libxcomposite1 <none> 1:0.4.1-1
2013-02-14 00:14:35 status half-installed libxcomposite1 1:0.4.1-1
2013-02-14 00:14:35 status unpacked libxcomposite1 1:0.4.1-1
2013-02-14 00:14:35 status unpacked libxcomposite1 1:0.4.1-1
2013-02-14 00:14:35 install libxcursor1 <none> 1:1.1.10-1
2013-02-14 00:14:35 status half-installed libxcursor1 1:1.1.10-1
2013-02-14 00:14:35 status unpacked libxcursor1 1:1.1.10-1
2013-02-14 00:14:35 status unpacked libxcursor1 1:1.1.10-1
2013-02-14 00:14:35 install libxdamage1 <none> 1:1.1.2-1
2013-02-14 00:14:35 status half-installed libxdamage1 1:1.1.2-1
2013-02-14 00:14:35 status unpacked libxdamage1 1:1.1.2-1
2013-02-14 00:14:35 status unpacked libxdamage1 1:1.1.2-1
2013-02-14 00:14:35 install libxi6 <none> 2:1.3-3
2013-02-14 00:14:35 status half-installed libxi6 2:1.3-3
2013-02-14 00:14:35 status unpacked libxi6 2:1.3-3
2013-02-14 00:14:35 status unpacked libxi6 2:1.3-3
2013-02-14 00:14:35 install libxinerama1 <none> 2:1.1-2
2013-02-14 00:14:35 status half-installed libxinerama1 2:1.1-2
2013-02-14 00:14:35 status unpacked libxinerama1 2:1.1-2
2013-02-14 00:14:35 status unpacked libxinerama1 2:1.1-2
2013-02-14 00:14:35 install libxrandr2 <none> 2:1.3.0-3
2013-02-14 00:14:35 status half-installed libxrandr2 2:1.3.0-3
2013-02-14 00:14:35 status unpacked libxrandr2 2:1.3.0-3
2013-02-14 00:14:35 status unpacked libxrandr2 2:1.3.0-3
2013-02-14 00:14:35 install shared-mime-info <none> 0.71-1ubuntu2
2013-02-14 00:14:35 status half-installed shared-mime-info 0.71-1ubuntu2
2013-02-14 00:14:35 status half-installed shared-mime-info 0.71-1ubuntu2
2013-02-14 00:14:35 status unpacked shared-mime-info 0.71-1ubuntu2
2013-02-14 00:14:35 status unpacked shared-mime-info 0.71-1ubuntu2
2013-02-14 00:14:35 install libgtk2.0-0 <none> 2.20.1-0ubuntu2.1
2013-02-14 00:14:35 status half-installed libgtk2.0-0 2.20.1-0ubuntu2.1
2013-02-14 00:14:35 status unpacked libgtk2.0-0 2.20.1-0ubuntu2.1
2013-02-14 00:14:35 status unpacked libgtk2.0-0 2.20.1-0ubuntu2.1
2013-02-14 00:14:35 install libglade2-0 <none> 1:2.6.4-1build1
2013-02-14 00:14:35 status half-installed libglade2-0 1:2.6.4-1build1
2013-02-14 00:14:36 status unpacked libglade2-0 1:2.6.4-1build1
2013-02-14 00:14:36 status unpacked libglade2-0 1:2.6.4-1build1
2013-02-14 00:14:36 install libaudiofile0 <none> 0.2.6-8ubuntu1
2013-02-14 00:14:36 status half-installed libaudiofile0 0.2.6-8ubuntu1
2013-02-14 00:14:36 status unpacked libaudiofile0 0.2.6-8ubuntu1
2013-02-14 00:14:36 status unpacked libaudiofile0 0.2.6-8ubuntu1
2013-02-14 00:14:36 install libpython2.6 <none> 2.6.5-1ubuntu6.1
2013-02-14 00:14:36 status half-installed libpython2.6 2.6.5-1ubuntu6.1
2013-02-14 00:14:36 status unpacked libpython2.6 2.6.5-1ubuntu6.1
2013-02-14 00:14:36 status unpacked libpython2.6 2.6.5-1ubuntu6.1
2013-02-14 00:14:36 install libasound2 <none> 1.0.22-0ubuntu7
2013-02-14 00:14:36 status half-installed libasound2 1.0.22-0ubuntu7
2013-02-14 00:14:36 status unpacked libasound2 1.0.22-0ubuntu7
2013-02-14 00:14:36 status unpacked libasound2 1.0.22-0ubuntu7
2013-02-14 00:14:36 install esound-common <none> 0.2.41-6ubuntu1
2013-02-14 00:14:36 status half-installed esound-common 0.2.41-6ubuntu1
2013-02-14 00:14:36 status unpacked esound-common 0.2.41-6ubuntu1
2013-02-14 00:14:36 status unpacked esound-common 0.2.41-6ubuntu1
2013-02-14 00:14:36 install libesd0 <none> 0.2.41-6ubuntu1
2013-02-14 00:14:36 status half-installed libesd0 0.2.41-6ubuntu1
2013-02-14 00:14:36 status unpacked libesd0 0.2.41-6ubuntu1
2013-02-14 00:14:36 status unpacked libesd0 0.2.41-6ubuntu1
2013-02-14 00:14:36 install libavahi-glib1 <none> 0.6.25-1ubuntu6.2
2013-02-14 00:14:36 status half-installed libavahi-glib1 0.6.25-1ubuntu6.2
2013-02-14 00:14:36 status unpacked libavahi-glib1 0.6.25-1ubuntu6.2
2013-02-14 00:14:36 status unpacked libavahi-glib1 0.6.25-1ubuntu6.2
2013-02-14 00:14:36 install gamin <none> 0.1.10-1ubuntu3
2013-02-14 00:14:36 status half-installed gamin 0.1.10-1ubuntu3
2013-02-14 00:14:36 status unpacked gamin 0.1.10-1ubuntu3
2013-02-14 00:14:36 status unpacked gamin 0.1.10-1ubuntu3
